69.00,53.00,83.00,67.00,72.00,344.00,68.80
84.00,56.00,76.00,74.00,55.00,345.00,69.00
75.00,66.00,70.00,65.00,88.00,364.00,72.80
94.00,56.00,52.00,82.00,51.00,335.00,67.00
83.00,99.00,59.00,56.00,72.00,369.00,73.80
81.00,69.00,78.00,96.00,74.00,398.00,79.60
74.00,99.00,51.00,79.00,65.00,368.00,73.60
82.00,83.00,95.00,53.00,97.00,410.00,82.00
51.00,50.00,67.00,60.00,55.00,283.00,56.60
88.00,87.00,97.00,61.00,62.00,395.00,79.00
58.00,88.00,85.00,75.00,81.00,387.00,77.40
53.00,53.00,82.00,72.00,69.00,329.00,65.80
74.00,54.00,85.00,61.00,64.00,338.00,67.60
57.00,87.00,72.00,75.00,57.00,348.00,69.60
74.00,86.00,94.00,50.00,68.00,372.00,74.40
72.00,73.00,89.00,57.00,68.00,359.00,71.80
84.00,74.00,82.00,77.00,75.00,392.00,78.40
86.00,71.00,69.00,50.00,80.00,356.00,71.20
54.00,51.00,67.00,52.00,96.00,320.00,64.00
53.00,76.00,86.00,80.00,60.00,355.00,71.00
54.00,77.00,74.00,78.00,63.00,346.00,69.20
93.00,57.00,62.00,57.00,60.00,329.00,65.80
69.00,61.00,92.00,66.00,53.00,341.00,68.20
54.00,69.00,87.00,91.00,69.00,370.00,74.00
98.00,66.00,97.00,94.00,71.00,426.00,85.20
54.00,96.00,85.00,81.00,63.00,379.00,75.80
78.00,60.00,78.00,55.00,66.00,337.00,67.40
89.00,72.00,89.00,87.00,61.00,398.00,79.60
83.00,58.00,99.00,88.00,82.00,410.00,82.00
85.00,97.00,95.00,96.00,77.00,450.00,90.00
61.00,67.00,88.00,62.00,97.00,375.00,75.00
92.00,77.00,88.00,85.00,88.00,430.00,86.00
74.00,71.00,60.00,54.00,68.00,327.00,65.40
84.00,78.00,89.00,62.00,88.00,401.00,80.20
94.00,79.00,70.00,85.00,83.00,411.00,82.20
59.00,87.00,52.00,93.00,83.00,374.00,74.80
88.00,83.00,75.00,56.00,86.00,388.00,77.60
64.00,78.00,58.00,78.00,75.00,353.00,70.60
75.00,84.00,71.00,74.00,93.00,397.00,79.40
54.00,55.00,97.00,91.00,81.00,378.00,75.60
65.00,86.00,54.00,58.00,57.00,320.00,64.00
66.00,54.00,88.00,51.00,63.00,322.00,64.40
74.00,70.00,86.00,82.00,65.00,377.00,75.40
92.00,57.00,59.00,93.00,82.00,383.00,76.60
83.00,68.00,51.00,62.00,57.00,321.00,64.20
54.00,52.00,81.00,57.00,59.00,303.00,60.60
68.00,60.00,97.00,50.00,92.00,367.00,73.40
75.00,69.00,69.00,67.00,80.00,360.00,72.00
89.00,94.00,89.00,92.00,85.00,449.00,89.80
61.00,91.00,99.00,84.00,62.00,397.00,79.40
